[70161:70161:1128/083022.849215:WARNING:chrome_main_delegate.cc(660)] This is Chrome version 119.0.6045.105 (not a warning)
[70161:70183:1128/083023.228760:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70183:1128/083023.229134:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70183:1128/083023.229352:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70183:1128/083023.229543:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70161:1128/083023.235825:INFO:policy_logger.cc(145)] :components/enterprise/browser/controller/chrome_browser_cloud_management_controller.cc(168) Starting CBCM Controller Initialization
[70161:70161:1128/083023.240310:INFO:policy_logger.cc(145)] :components/enterprise/browser/controller/chrome_browser_cloud_management_controller.cc(196) No machine level policy manager exists.
[70161:70183:1128/083023.337227:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70183:1128/083023.337592:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70183:1128/083023.386334:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70183:1128/083023.388090:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70161:1128/083023.443971:WARNING:bluez_dbus_manager.cc(247)] Floss manager not present, cannot set Floss enable/disable.
[70161:70261:1128/083023.476285:ERROR:object_proxy.cc(577)] Failed to call method: org.freedesktop.DBus.Properties.Get: object_path= /org/freedesktop/UPower: org.freedesktop.DBus.Error.ServiceUnknown: The name org.freedesktop.UPower was not provided by any .service files
[70161:70261:1128/083023.481250:WARNING:property.cc(144)] DaemonVersion: GetAndBlock: failed.
[70161:70261:1128/083023.484646:ERROR:object_proxy.cc(577)] Failed to call method: org.freedesktop.UPower.GetDisplayDevice: object_path= /org/freedesktop/UPower: org.freedesktop.DBus.Error.ServiceUnknown: The name org.freedesktop.UPower was not provided by any .service files
[70161:70261:1128/083023.487392:ERROR:object_proxy.cc(577)] Failed to call method: org.freedesktop.UPower.EnumerateDevices: object_path= /org/freedesktop/UPower: org.freedesktop.DBus.Error.ServiceUnknown: The name org.freedesktop.UPower was not provided by any .service files
[70196:70196:1128/083023.703683:WARNING:gpu_memory_buffer_support_x11.cc(49)] dri3 extension not supported.
[70196:70196:1128/083023.717004:WARNING:sandbox_linux.cc(393)] InitializeSandbox() called with multiple threads in process gpu-process.
[70161:70161:1128/083024.413663:INFO:CONSOLE(1)] "A parser-blocking, cross site (i.e. different eTLD+1) script, https://cdn.cookielaw.org/scripttemplates/otSDKStub.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.", source: https://coinmarketcap.com/ (1)
[70161:70161:1128/083024.414656:INFO:CONSOLE(1)] "A parser-blocking, cross site (i.e. different eTLD+1) script, https://cdn.cookielaw.org/scripttemplates/otSDKStub.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.", source: https://coinmarketcap.com/ (1)
[70161:70161:1128/083024.722497:INFO:CONSOLE(1)] "react-i18next:: It seems you are still using the old wait option, you may migrate to the new useSuspense behaviour.", source: https://s2.coinmarketcap.com/_next/static/chunks/pages/_app-594dffddbbffcfc.js (1)
[70161:70161:1128/083027.583726:INFO:CONSOLE(254)] "[Audigent] cannot find a required consent framework, halt execution", source: https://a.ad.gt/api/v1/u/matches/617?_it=amazon (254)
[70161:70161:1128/083028.243610:INFO:CONSOLE(0)] "Access to fetch at 'https://lb.eu-1-id5-sync.com/lb/v1' from origin 'https://coinmarketcap.com' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. If an opaque response serves your needs, set the request's mode to 'no-cors' to fetch the resource with CORS disabled.", source: https://coinmarketcap.com/ (0)
[70161:70161:1128/083028.731912:INFO:CONSOLE(0)] "Access to XMLHttpRequest at 'https://id5-sync.com/gm/v3' from origin 'https://coinmarketcap.com' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource.", source: https://coinmarketcap.com/ (0)
[70161:70161:1128/083033.634318:INFO:CONSOLE(1)] "A parser-blocking, cross site (i.e. different eTLD+1) script, https://cdn.cookielaw.org/scripttemplates/otSDKStub.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.", source: https://coinmarketcap.com/ (1)
[70161:70161:1128/083033.635525:INFO:CONSOLE(1)] "A parser-blocking, cross site (i.e. different eTLD+1) script, https://cdn.cookielaw.org/scripttemplates/otSDKStub.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.", source: https://coinmarketcap.com/ (1)
[70161:70161:1128/083033.898522:INFO:CONSOLE(1)] "react-i18next:: It seems you are still using the old wait option, you may migrate to the new useSuspense behaviour.", source: https://s2.coinmarketcap.com/_next/static/chunks/pages/_app-594dffddbbffcfc.js (1)
